idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
197, Town Quay,Town Quay,0.11563229560852051,17.587757110595703,1.0
198," Yes, the Spanish have a significant legacy in America from their forefathers, particularly in the southwestern states, where they established colonies and left behind a lasting impact on the culture, language, and history of the region.","after the French and Indian War, further extending the Spanish influence throughout modern-day United States of America.",0.11991739273071289,25.523590087890625,0.6626357436180115
199, Pope Gregory XIII,Pope Gregory XIII,0.12493658065795898,17.613108158111572,1.0
200, Precentor,"""Precentor""",0.12495541572570801,17.629212379455566,0.9333751797676086
201, 1968,1968,0.12857747077941895,17.59088945388794,1.0
202, The Marsden Fund.,Marsden Fund,0.13257050514221191,18.095207452774048,0.9418260455131531
203, The Common Agricultural Policy.,Common Agricultural Policy,0.12848758697509766,18.019192457199097,0.9756899476051331
204, Spain and Portugal.,Spain and Portugal,0.12966322898864746,17.87117862701416,0.9743655920028687
205, Two fists.,one's two fists,0.1220090389251709,17.615376234054565,0.8928310871124268
206, 1 May.,1 May,0.1395113468170166,17.871756076812744,0.9631880521774292
207, Geordie Greig,Geordie Greig,0.12378740310668945,18.02848482131958,1.0
208, The double high tide.,depth,0.11830282211303711,18.048524856567383,0.20504918694496155
209, Five times.,five,0.14139366149902344,17.66132378578186,0.6817899346351624
210, Ulster,Ulster,0.14420747756958008,17.5245144367218,0.9999999403953552
211, The Princeton Review.,Princeton Review,0.12322449684143066,17.806264638900757,0.9508841037750244
212, Saint Crispin's Day,Saint Crispin's Day,0.12954926490783691,18.203388452529907,1.0000001192092896
213, University Daily Kansan,University Daily Kansan,0.13882994651794434,17.938121557235718,1.0
214, British,Polish,0.13539934158325195,17.229373455047607,0.3675217628479004
215," Eton was criticized for the unfair dismissal of Sarah Forsyth, a teacher who claimed she was bullied by senior staff and was instructed to do coursework for Prince Harry.",failing to produce its capability procedures,0.13089823722839355,23.42008066177368,0.09543581306934357
216, Hawtrey House and Durnford House,"Hawtrey House, Durnford House",0.13300538063049316,18.78543710708618,0.9760374426841736
217, The Guildhall.,the Guildhall,0.1314716339111328,17.817708015441895,0.976093053817749
218, The 1980s.,The largest immigration wave occurred as a result of the Salvadoran Civil War in the 1980s,0.12731504440307617,18.194211959838867,0.24760256707668304
219, Decision science applications supporting NASA Project Apollo Command Capsule Recovery Operations.,decision science,0.124786376953125,19.455639362335205,0.5102702379226685
220, 11,11,0.12744498252868652,17.326910495758057,1.0
221, Interdisciplinary management science graduate studies in operations research.,interdisciplinary management science graduate studies in operations research,0.1300666332244873,18.860775232315063,0.9963294267654419
222, The Gaumont.,the Gaumont,0.13714170455932617,17.816577911376953,0.984516441822052
223," Yes, New Mexico Spanish contains many words from Nahuatl, the language spoken by the ancient Aztecs of Mexico.","borrowings from English. Grammatical changes include the loss of the second person verb form, changes in verb endings",0.13288664817810059,21.796058177947998,0.15309631824493408
224," The University of Kansas Medical Center features three schools: the School of Medicine, School of Nursing, and School of Health Professions.",its own programs of graduate study,0.12404990196228027,22.05529522895813,0.36211147904396057
225," Some female schools close to Eton include St George's, Ascot, St Mary's School Ascot, Windsor Girls' School, and Heathfield St Mary's School.","St George's, Ascot, St Mary's School Ascot, Windsor Girls' School and Heathfield St Mary's School",0.14437150955200195,23.822905778884888,0.8351908326148987
226, The Hanseatic League.,naval innovations,0.12113118171691895,18.096761465072632,0.17866496741771698
227," Approximately 320 students per year receive bursaries, and 70 are educated free of charge.",20%,0.1192479133605957,20.854050159454346,0.10955885797739029
228, Hot adult contemporary music.,Hot adult contemporary,0.14745640754699707,17.919410467147827,0.826103687286377
229, Henry VIII,Henry VIII,0.13944697380065918,17.457937717437744,1.0000001192092896
230, The Middle Ages.,High Middle Ages,0.1190342903137207,17.82157850265503,0.9068623185157776
231, September,September,0.14545941352844238,17.243646144866943,1.0
232," Austria-Hungary and the Austro-Hungarian Empire's German-speaking areas, as well as the territories of Prussia that were annexed by Poland and the Soviet Union after World War II.",effectively excluding the multi-ethnic Austrian Habsburg monarchy,0.13312602043151855,24.90162754058838,0.5062705278396606
233," Yes, Florida has a significant Hispanic population, with many cities having a majority of Hispanic residents.","increasing the Spanish-speaking populations and in some areas being the majority of the Hispanophone population, especially in Central Florida. In Hawaii",0.1290450096130371,20.65894341468811,0.4903917610645294
234, Approximately 80 million people speak German as a native language.,100 million,0.13312172889709473,19.32792568206787,0.385009765625
235, 16.2%,16.2,0.121063232421875,17.977346658706665,0.6915366053581238
236, 16,16,0.126234769821167,17.511088132858276,1.0
237," No, there is no official language of the United States.","United States has no de jure official language, English is the dominant language",0.11933183670043945,19.441736459732056,0.686827540397644
238, University Hospital Southampton NHS Foundation Trust,Moorgreen Hospital,0.12281203269958496,18.159319639205933,0.4232092797756195
239," The University of Kansas (KU) has various specialized professional schools, and the fees charged at these schools vary. However, according to the provided text, the KU School of Business charges additional fees, and the schools of architecture, music, arts, business, education, engineering, journalism, law, pharmacy, and social welfare also charge additional fees.",additional fees,0.12488198280334473,30.936837196350098,0.45264339447021484
240," Kansas City, Kansas.",Kansas City,0.12440037727355957,17.995562314987183,0.9406465888023376
241, The Head Master of Eton College.,the Head Master,0.1377091407775879,18.527693271636963,0.56928551197052
242," Yes, the U.S. federal government tried to force Puerto Ricans to adopt English as the primary language of instruction in their high schools, but it was unsuccessful.",U.S. federal government strenuously tried to force Puerto Ricans to adopt English,0.12149643898010254,23.433791160583496,0.8180280923843384
243," The ""Arrival of the Three Queens"".",Arrival of the Three Queens,0.13590264320373535,18.816590309143066,0.9396685361862183
244," Yes, Texas was part of Mexico until it declared independence in 1836 and became the Republic of Texas.","In 1821, after Mexico's War of Independence from Spain, Texas was part of the United Mexican States as the state of Coahuila y Tejas",0.1384742259979248,21.198965311050415,0.7486902475357056
245, Ostsiedlung,Ostsiedlung,0.12175536155700684,17.740980863571167,1.0
246, St Mary's Stadium,St Mary's Stadium,0.14125752449035645,17.862140417099,1.0
247," No, there is no mention of a court ruling in the provided text.",the convention ultimately voted 46-39 to revise the earlier clause so that all official proceedings would henceforth be published only in English.,0.12536287307739258,19.98249316215515,0.330083966255188
248, 1898,1898,0.12820076942443848,17.613061904907227,1.0000001192092896
249," Print, online, and broadcast.","print, online and broadcast",0.14339041709899902,18.307490348815918,0.8921323418617249
250, Wellington College,Wellington College,0.12626361846923828,17.48757791519165,1.0
251, The Fourth of June is celebrated on the Wednesday before the first weekend of June.,the Wednesday before the first weekend of June,0.13940072059631348,20.221434116363525,0.7328822612762451
252," 2,663","2,663",0.133805513381958,17.91400909423828,1.0
253," Jean Scott, the head of the Independent Schools Council.",Jean Scott,0.12898659706115723,19.133148908615112,0.6442641615867615
254, Aloysius Lilius,Aloysius Lilius,0.1269688606262207,18.148188591003418,1.0
255, 8,eight,0.12317061424255371,17.410656213760376,0.9316006898880005
256, March,March,0.13367438316345215,17.342323303222656,1.0
257, 131,131,0.1281905174255371,17.347532272338867,1.0000001192092896
258, Aspirin.,Aspirin,0.11240792274475098,17.771281242370605,0.9523016214370728
259, The state of Kansas was established in 1861 as the 34th state in the United States.,"The state outside the Gadsden Purchase of 1853 was part of the New Mexico Territory until 1863, when the western half was made into the Arizona Territory.",0.13456296920776367,21.114290237426758,0.2778332233428955
260," Eton encourages people to find the thing they love and to go for it, and it champions the talent of the individual.",They champion the talent of the individual,0.12957239151000977,21.87199831008911,0.3742068409919739
261, Buses.,Buses,0.13011670112609863,17.646522998809814,0.9431967735290527
262, Civil and environmental engineering.,civil and environmental engineering,0.13019251823425293,18.076151609420776,0.964552104473114
