idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
32, Ground forces.,U.S. ground forces,0.0004982948303222,0.7995915412902832,0.7827625870704651,0.6666666666666666,0.6666666666666666,What are the ground-attack aircraft in the USAF usually deployed in support for? ,1
33, Hora tertia,hora tertia,0.0004985332489013,0.9867091178894044,1.0,1.0,1.0,What did the Romans call the third hour before sunrise?,1
34, 80%,80%,0.0004913806915283,0.796095609664917,1.0,1.0,1.0,What percent of the population in Manchuria was Han?,1
35, Joint Force Commanders (JFC) in the COCOM's Area of Responsibility (AOR).,JFC,0.0004940032958984,4.054237127304077,0.4699994623661041,0.1538461538461538,0.1538461538461538,Who does the C-NAFF coordinate with on ACEE missions?,1
36," Some of these special missions in the USAF who deploy with the infantry include: Explosive Ordnance Disposal (EOD), Combat rescue officer, Pararescue, Security Forces, Combat Control, Combat Weather, Tactical Air Control Party, and AFOSI agents.",rescue downed or isolated personnel,0.0004820823669433,10.766505002975464,0.2892653048038482,0.0499999999999999,0.0499999999999999,What do some of these special missions in the USAF who deploy with the infantry do?,0
37, Computer Network Defense (CND),computer network defense,0.0005109310150146,1.556171417236328,0.7672829627990723,0.8571428571428571,0.8571428571428571,What is the definition of CND?,1
38, The Treaty of Nerchinsk gave the Russians territory and trading rights.,territory and trading rights,0.0005033016204833,2.8911733627319336,0.5479320287704468,0.5333333333333333,0.5333333333333333,What did the treaty give to the Russians?,1
39, The British Royal Navy and British soldiers fought the Qing in the First Opium War.,British,0.0005114078521728,3.46472716331482,0.252246618270874,0.125,0.125,What nationality will the new international school in Brasilia be?,0
40, Fulin,without a designated heir,0.00050950050354,0.5984153747558594,0.0881982296705246,0.0,0.0,Who was his heir?,0
41, QF-4 aircraft.,F-4 Phantom II,0.0004858970642089,1.3681597709655762,0.4981095194816589,0.2857142857142857,0.2857142857142857,What kind of aircraft is utilized by the USAF in Full Scale Aerial Targets?,1
42, Those in favor of DST argue that it saves energy.,saves energy,0.0004997253417968,2.324561834335327,0.5871438980102539,0.3333333333333333,0.3333333333333333,Would those in favor of DST argue that it causes people to use more electricity or saves energy?,1
43, Robert Gates,Robert Gates,0.0004949569702148,0.6049449443817139,1.0,1.0,1.0,What US Secretary of Defense accepted resignations of top US Air Force officials in June of 2009?,1
44, $30 million,$30 million,0.000493049621582,0.7972557544708252,1.0,1.0,1.0,How much extra money from DST did Fortune predict for 7-Eleven on account of DST?,1
45, Three hours.,three,0.0004858970642089,0.7973599433898926,0.4301813244819641,0.6666666666666666,0.6666666666666666,"Before Hindus are cremated, how many times are their bodies placed in the Bagmati?",0
46, Weather reconnaissance.,weather reconnaissance aircraft,0.0005028247833251,0.7994105815887451,0.8161193132400513,0.8,0.8,What did the USAF use the WC-130H aircraft for before they converted them for transport missions? ,1
47, Humanitarian Assistance Operations.,Humanitarian Assistance Operations,0.0005116462707519,1.1766765117645264,0.9862823486328124,1.0,1.0,What are programs that are designed to help with natural or manmade disaters? ,1
48, Nurhaci,Nurhaci,0.000495433807373,0.7905571460723877,1.0,1.0,1.0,Who created the Eight Banners?,1
49, The B-2A aircraft entered service in the 1990s.,1990s,0.0004956722259521,3.0916662216186523,0.3830456435680389,0.1999999999999999,0.1999999999999999,When did NYC begin splitting up the large Bronx high schools?,0
50, Explosive Ordnance Disposal (EOD),Tactical Air Control Party,0.0005040168762207,2.349942445755005,0.1952920854091644,0.0,0.0,What is one of the most dangerous jobs for USAF personnel?,0
51, The mast.,mast,0.0004901885986328,0.8025591373443604,0.8115361928939819,0.6666666666666666,0.6666666666666666,what was broken/damaged on the boat?,1
52," 3,400","3,400 books",0.0004899501800537,0.9956426620483398,0.6171385645866394,0.8,0.8,How many books were in the Siku Quanshu?,1
53, The late 17th century.,end of the 17th century,0.0004842281341552,1.5776174068450928,0.860573410987854,0.6666666666666665,0.6666666666666665,When did the Chinese economy finally recover after the wars with the Mings?,1
54, He declared that adult Han Chinese men must shave the front of their heads and comb the remaining hair into the queue hairstyle.,"the ""haircutting order"")",0.0004851818084716,4.863723278045654,0.4575834274291992,0.0769230769230769,0.0769230769230769,What did Dorgon declare in July of 1645?,1
55, The Northern Hemisphere.,North and south of the tropics,0.0004935264587402,0.9992401599884032,0.6861357688903809,0.2222222222222222,0.2222222222222222,In what part of the world is daytime shorter in winter and longer in summer?,0
56, 1976,1976,0.000486135482788,0.8054418563842773,1.0,1.0,1.0,"When was the suffix ""in St. Louis"" added to Washington University?",1
57, 1850-1864,(1850–64),0.0004794597625732,1.3816132545471191,0.7520078420639038,0.5,0.5,When was the Taiping rebellion?,1
58, Zhu Zhiliang was a descendant of the Ming dynasty Imperial family and was inducted into the Chinese Plain White Banner in the Eight Banners.,perform rituals,0.0004904270172119,5.824729442596436,0.032177660614252,0.0,0.0,What was Zhu's job?,0
59," The Chief of Staff of the Air Force exercises supervision over Air Force units, and serves as a member of the Joint Chiefs of Staff.",commander in planning,0.0004980564117431,5.442256689071655,0.3006730675697326,0.0,0.0,Who is in charge of the Command and Control operations? ,0
60," 2,000 years","2,000 years",0.0004875659942626,1.1878793239593506,1.0,1.0,1.0,How long did Imperial China last for?,1
61, 2001,2001,0.000490665435791,0.8041460514068604,1.0,1.0,1.0,When was vaccination used to prevent the spread of the foot-and-mouth virus?,1
62, Manchu and Mongol.,Manchu and Mongol,0.0005028247833251,1.3840782642364502,0.9827064275741576,1.0,1.0,Which two ethnicities made up the majority of the Banner Armies?,1
63, 1723,1723,0.0004885196685791,0.8016605377197266,1.0000001192092896,1.0,1.0,When did Yongzheng ban christianity?,1
64, Liaodong.,Liaodong,0.0004858970642089,0.9957468509674072,0.9869499802589417,1.0,1.0,Where did a Han revolt occur?,1
65, Cows,cows,0.000495433807373,0.608994722366333,1.0,1.0,1.0,What animal on dairy farms is affected by timing?,1
66, Volcanic islands,volcanic,0.0004947185516357,0.995434045791626,0.7962329387664795,0.6666666666666666,0.6666666666666666,Obsidian is what type of glass?,0
67," The Qing dynasty was led by the Aisin Gioro clan, a Manchu people.",Yuan Shikai,0.0004932880401611,3.892300367355346,0.3046597838401794,0.0,0.0,Who led the Qing?,0
68, 1642,1642,0.0005059242248535,0.8018345832824707,1.0,1.0,1.0,When did the Han Banners grow to eight?,1
69, The Dzungars in Outer Mongolia.,Dzungars,0.0004942417144775,1.7666995525360107,0.6700012683868408,0.3333333333333333,0.3333333333333333,Who did Kangxi fight?,1
70, Shun dynasty,Shun,0.0004909038543701,0.8013210296630859,0.5289725065231323,0.6666666666666666,0.6666666666666666,What dynasty did Zicheng form?,1
71," One of the concerns of the Air Force is the ability to induct, train, assign, educate, and exercise individuals and units to rapidly and effectively execute missions that support US NDO objectives.",replace its aging fleet,0.0005013942718505,7.760582208633423,0.1313163787126541,0.0,0.0,What is one of the concerns of the Air Force? ,0
72, well in excess of one year.,excess of one year,0.0005028247833251,1.579946994781494,0.8358455300331116,0.8,0.8,How long does the flight training for the AETC's Nineteenth Air Force last? ,1
73, Local time.,local time,0.0004971027374267,0.8024816513061523,0.94398295879364,1.0,1.0,What does Microsoft Windows use internally for its real-time clock?,1
74, Han Chinese who defected to the Qing up to 1644 and joined the Eight Banners.,Han Chinese,0.0005083084106445,4.105491876602173,0.5383608937263489,0.2352941176470588,0.2352941176470588,What ethnicity was the majority in urban Manchuria?,1
75, The top-level structure of these forces is the Air and Space Expeditionary Task Force (AETF).,Air and Space Expeditionary Task Force,0.000490665435791,4.158303737640381,0.6975736618041992,0.5454545454545454,0.5454545454545454,What is the top level structure of these Chopped forces in the USAF? ,1
76, Han Chinese,Han Chinese,0.0004806518554687,0.6175720691680908,1.000000238418579,1.0,1.0,What ethnicity was the majority in urban Manchuria?,1
77, 18th century,18th century,0.0004937648773193,1.002796649932861,1.0,1.0,1.0,What century did Qing China stretch to its largest?,1
78, waking up with the sun.,get up earlier,0.0004842281341552,1.3992459774017334,0.4803160429000854,0.25,0.25,Most people agree that a standardized schedule by DST is more practical than trying to do what in the morning on our own?,0
79, 1 hour,one hour,0.0004897117614746,0.8056435585021973,0.9373786449432372,0.5,0.5,For how much more time was the molten steel supposed to cool when the computer mix-up happened in the German steel facility?,1
80, 8,eight,0.0004858970642089,0.6122281551361084,0.9316006898880004,0.0,0.0,How many rivers travel through Kathmandu?,1
81, Updates.,upgrades,0.0005052089691162,0.6156055927276611,0.5713348984718323,0.0,0.0,What did many existing computer systems that relied on time zones need because of the DST rule changes?,1
82, One,one,0.0004823207855224,0.4192516803741455,1.0,1.0,1.0,How many restaurants in the western style were present in Kathmandu circa 1955?,1
83, The exercise of authority and direction by a properly designated commander over assigned and attached forces in the accomplishment of the mission.,exercise of authority and direction by a properly designated commander over assigned and attached forces,0.0004873275756835,4.68875527381897,0.8607739210128784,0.8108108108108109,0.8108108108108109,What is the definition of Command and Control in the Air Force operations? ,1
84, The Secretary of the Air Force reports to the Secretary of Defense.,Secretary of Defense,0.0004985332489013,2.7471864223480225,0.749280571937561,0.4,0.4,What position was held by James Forrestal?,0
85," The Air Force uses Planning and Directing to enable the synchronization and integration of collection, processing, exploitation, analysis, and dissemination activities/resources to meet information requirements of national and military decision makers.",development of appropriate intelligence architecture,0.0004982948303222,7.598838806152344,0.3478143215179443,0.054054054054054,0.054054054054054,What is one of the ways that the Air Force uses Planning and Directing in its operations? ,0
86, 1644,June 6,0.0004963874816894,0.8024470806121826,0.1389873176813125,0.0,0.0,When did Beijing fall?,0
87, Cargo and transport aircraft.,Cargo and transport,0.0005106925964355,1.196882724761963,0.851311981678009,0.8571428571428571,0.8571428571428571,What type of aircraft is used to deliver troops and weapons to military operations? ,1
88, Equatorial Brazil.,equatorial Brazil,0.0004863739013671,0.9990396499633788,0.966455101966858,1.0,1.0,What part of Brazil does not observe DST?,1
89," Saint Helena, Ascension and Tristan da Cunha.",the British overseas territory of Saint Helena,0.0004920959472656,2.553316831588745,0.5760644674301147,0.2857142857142857,0.2857142857142857,what territory is Tristan da Cunha part of?,1
90, 13 million km2,13 million km2,0.0005085468292236,1.192426681518555,1.0,1.0,1.0,How many kilometers was Qing China at its height?,1
91, Clock rules.,policy,0.0004911422729492,0.8057272434234619,0.2621948719024658,0.0,0.0,What do jurisdictions sometimes change that mixes up DST dates and times?,1
92, 1754,Qianlong's reign,0.000486135482788,0.8069713115692139,0.0834475010633468,0.0,0.0,When did Manchu ethnicity become important again in the Eight Banners?,0
93," 330,000","330,000",0.0004997253417968,1.0009610652923584,0.9999999403953552,1.0,1.0,How many USAF personnel did the reduction end in during 2008?,1
94, Due to budget constraints.,budget constraints,0.000500202178955,1.194101095199585,0.6824321150779724,0.6666666666666666,0.6666666666666666,Why did the USAF plan to take a reduction-in-force?,1
95, Winter.,winter,0.0004854202270507,0.6130504608154297,0.9490090608596802,1.0,1.0,Which season is the most dry in Oklahoma?,1
96, The Energy Policy Act of 2005.,the Energy Policy Act of 2005,0.0004899501800537,1.9738624095916748,0.9906626343727112,1.0,1.0,What act in the U.S. brought about the 2007 change in DST policy?,1
97, 1720,mid-18th century,0.0004863739013671,0.804903507232666,0.5026919841766357,0.0,0.0,When did Tibet become part of Qing China?,1
98, Dulimbai Gurun,China,0.0004971027374267,1.1978521347045898,0.1958078891038894,0.0,0.0,Who was providing supplies to the Vietnamese communists fighting against France?,0
99, Microsoft Windows calculates DST by consulting a table of rule sets.,specifying the name of a location,0.000486135482788,2.554973125457764,0.0001357309520244,0.2352941176470588,0.1176470588235294,"Similar to systems using zoneinfo, Microsoft Windows calculates DST by doing what?",0
100, 1932,1932,0.0004820823669433,0.8040049076080322,0.9999998807907104,1.0,1.0,From when was it taught that the little flock would not be the only people to survive Armageddon?,1
101, Autumn.,autumn,0.0004928112030029,0.612825870513916,0.959092378616333,1.0,1.0,What season in Richmond is most likely to see periods of dryness?,1
102, Dmitri Medvedev,Dmitri Medvedev,0.0004787445068359,1.1971380710601809,1.0,1.0,1.0,Which Russian president argued that the country should stay in DST year-round because of the stresses of time shifts?,1
103, Nurhaci,Nurhaci,0.0004904270172119,0.804516077041626,1.0,1.0,1.0,Who created the Eight Banners?,1
104, time zone differences.,time zone differences,0.0005033016204833,1.0040194988250732,0.9289206862449646,1.0,1.0,"By using UTC, applications get out of adjusting to changes around clock shifts and what other factor?",1
105, Personnel Recovery,Personnel Recovery,0.0005090236663818,0.6125950813293457,1.0,1.0,1.0,What does the abbreviation PR stand for in terms of the US military?,1
106, Taiwan.,Taiwan,0.0004892349243164,0.612795352935791,0.9494426250457764,1.0,1.0,Where did the US Air Force accidentally ship a component of Nuclear Weapons? ,1
107, Nanjing,Nanjing,0.0004847049713134,0.611767053604126,1.0,1.0,1.0,What city did the Qing lose in 1853?,1
108, 1959,1959,0.0005106925964355,0.8053617477416992,1.000000238418579,1.0,1.0,When did the USAF stop appointing warrant officers?,1
109, Robert Garland,Robert Garland,0.0004820823669433,0.6112968921661377,1.0,1.0,1.0,What industrialist from Pittsburgh campaigned strongly in favor of DST?,1
110, Puyi,Puyi,0.000495433807373,0.8045060634613037,1.0,1.0,1.0,Who was the last Qing emperor?,1
111," ""Tartarized Chinese"" or ""Tartarified Chinese"".","""Tartarized Chinese"" or ""Tartarified Chinese""",0.0004870891571044,3.1335580348968506,0.9676973223686218,1.0,1.0,What did the Europeans call Han Bannermen?,1
112, Easter,Easter,0.0004801750183105,0.4170751571655273,1.0000001192092896,1.0,1.0,What holiday was the inducement to revise the Julian calendar?,1
113, The British East India Company and the Dutch East India Company.,British East India Company and the Dutch East India Company,0.0004830360412597,2.552701950073242,0.9789525270462036,0.9523809523809524,0.9523809523809524,Which two European companies traded in Canton?,1
114, 1 year,one year of training with a preliminary school,0.00048828125,0.8089919090270996,0.447896659374237,0.2,0.2,How long is the training for Explosive Ordnance Disposal in the USAF?,1
115, United States Air Force,U.S. Army Air Forces,0.0004959106445312,0.9986345767974854,0.918914794921875,0.4444444444444445,0.4444444444444445,What does the USAAF stand for? ,0
116, The Qing thought that Han Chinese were superior at battling other Han people.,other Han people,0.0004932880401611,2.9429759979248047,0.4528967142105102,0.375,0.375,Who did the Qing think were the better soldiers to battle Han Chinese?,1
117, Righteous and Harmonious Fists.,Righteous and Harmonious Fists,0.0004973411560058,1.7741572856903076,0.9725515246391296,1.0,1.0,What was another name for the Boxers?,1
118," Retailers, sporting goods makers, and outdoor sports enthusiasts.",sporting goods,0.0004920959472656,2.5571062564849854,0.7778025269508362,0.4,0.4,What category of goods that are used in outdoor activities benefit from the extra hour of daylight from DST?,0
119, The Treaty of Nanjing.,"Treaty of Nanjing,",0.0004932880401611,1.3894586563110352,0.9760905504226683,0.8571428571428571,0.8571428571428571,What treaty marked the end of the First Opium War?,1
120," ""Summer""",summer,0.0004925727844238,0.8084924221038818,0.886940598487854,1.0,1.0,What season is red identified with in China?,1
121, 1938,1938,0.000514268875122,0.8056952953338623,1.0,1.0,1.0,When was 'The War of the Worlds' radio broadcast?,1
122, NTFS,NTFS,0.0004866123199462,0.6103875637054443,1.0,1.0,1.0,What file system do recent Windows versions use?,1
123, Precision strikes.,precision strikes,0.0004940032958984,0.8080775737762451,0.9664064645767212,1.0,1.0,What does the closeness to friendly troops require of these US Air Force aircraft?,1
124, 2006,2006,0.0004808902740478,0.8140735626220703,1.0000001192092896,1.0,1.0,When did the Kathmandu valley monuments receive WHS status?,1
125, All years.,all years,0.0004825592041015,0.8025524616241455,0.9328994154930116,1.0,1.0,What years will a new TZ value apply to?,1
126, Promotion from major to lieutenant colonel.,Promotion to major through major general,0.000486135482788,1.7706151008605957,0.7238544225692749,0.5,0.3333333333333333,What promotion in the USAF is governed by a formal selection process?,0
127, India,India,0.0004923343658447,0.41493821144104,1.0,1.0,1.0,Where are the Deccan Traps?,1
128, Winter.,winter,0.0004873275756835,0.6133618354797363,0.9490090608596802,1.0,1.0,Which season is the most dry in Oklahoma?,1
129, Maritime trade.,maritime trade,0.000502586364746,0.8025212287902832,0.9726130962371826,1.0,1.0,What were the economies of the European empires built on?,1
130, The Qing got territory and trading rights from the Treaty of Kyakhta.,Mongolia,0.0005018711090087,3.1235337257385254,0.2923927307128906,0.0,0.0,What did the Qing get from the Treaty of Kyakhta?,0
131, Li Hongzhang,Kang Youwei,0.0004920959472656,0.9942235946655272,0.505305826663971,0.0,0.0,Name an advisor to Guangxu?,0
132, 24,twenty-four,0.0004885196685791,0.6083126068115234,0.7233662605285645,0.0,0.0,How old was Shunzhi at his death?,1
133, Rail and communication networks.,rail,0.0004799365997314,1.1894922256469729,0.6615470051765442,0.4,0.4,What kind of transportation network helped encourage keeping more exact schedules?,1
134," Commissioned Officer Training (COT) for officers of all three components who are direct-commissioned to non-line positions due to their credentials in medicine, law, religion, biological sciences, or healthcare administration.",Commissioned Officer Training,0.0004992485046386,8.341779708862305,0.7459529042243958,0.1764705882352941,0.1764705882352941,What does the Air Force provide for officers of direct to non-line positions?,1
135, 1947,1947,0.0004963874816894,0.8013474941253662,1.0,1.0,1.0,"When was the centrality of the ""separation"" concept to the Religion Clauses of the Constitution made explicit?",1
136, The Chief of Staff of the Air Force serves as a member of the Joint Chiefs of Staff.,Chief of Staff of the Air Force,0.0004892349243164,3.895198822021485,0.8720687627792358,0.56,0.56,Who serves as a member of the Joint Chiefs of Staff?,1
137, Before dawn.,before dawn,0.0004839897155761,0.8045620918273926,0.971726417541504,1.0,1.0,When does  Dirty Mas take place on the Monday before Ash Wednesday?,1
138," October 30, 1644.",October 30,0.0004830360412597,1.7706785202026367,0.5546342730522156,0.8,0.8,When did the Shunzhi emperor become the Son of Heaven?,1
139," The Qing government was made up of Manchu, Han Chinese, and Mongol ethnicities.",Manchu noblemen and Han officials,0.0004835128784179,3.8945159912109375,0.5867936611175537,0.3333333333333333,0.2222222222222222,Which ethnicities made up the Qing government?,0
140," Tea, silk, and manufactures.","tea, silk and manufactures",0.0004880428314208,1.572404384613037,0.9777310490608216,1.0,1.0,What did China export?,1
141," Space superiority is the degree of dominance in space of one force over another that permits the conduct of operations by the former and its related land, sea, air, space, and special operations forces at a given time and place without prohibitive interference by the opposing force.","localized in time and space, or it may be broad and enduring",0.0004899501800537,10.462312936782835,0.1753582954406738,0.1694915254237288,0.135593220338983,What does Space Superiority encompass? ,0
142, Nurhaci,Jurchen,0.0004918575286865,0.7996821403503418,0.3202794194221496,0.0,0.0,Who founded the Qing dynasty?,0
143, A weekend.,weekend,0.0004804134368896,0.8033702373504639,0.872322678565979,0.6666666666666666,0.6666666666666666,During what part of the week is the time change most often scheduled?,1
144, Judge Advocate General,judge advocate general,0.0005073547363281,0.8027346134185791,1.0000001192092896,1.0,1.0,What kind of AFSC is a JAG?,1
145," The emperor initiated the Hundred Days' Reform of 1898, which included reorganizing the bureaucracy, restructuring the school system, and appointing new officials.",Hundred Days' Reform of 1898,0.0004994869232177,6.408480167388916,0.748210608959198,0.3703703703703703,0.3703703703703703,What did the emperor do in response to so many defeats by the Europeans?,1
146, F-16 Fighting Falcon,F-16,0.0004937648773193,1.1902062892913818,0.6746104955673218,0.6666666666666666,0.6666666666666666,What aircraft is used by the US Air Demonstration group The Thunderbirds?,1
147," ""ora legale""",ora legale,0.0004887580871582,1.191110372543335,0.9494166374206544,1.0,1.0,"What term do Italians use for DST that literally translates as ""legal time""?",1
148, The B-21 Raider.,B-21,0.0004830360412597,1.383920669555664,0.6528280973434448,0.6666666666666666,0.6666666666666666,What aircraft is scheduled to replace the B-52 in the USAF?,1
149," ""Daicing""","Mongolian word that means ""warrior""",0.0004856586456298,0.996695041656494,0.2067476511001587,0.0,0.0,What Mongolian word did Qing dynasty get it's name from?,0
150, 1918,1918,0.0004894733428955,0.8027503490447998,1.0,1.0,1.0,In what year did Argentina's University Revolution occur?,1
151, Parisians,Parisians,0.0004880428314208,0.6105470657348633,1.0,1.0,1.0,Which group of people did Franklin say would save candles by waking up earlier?,1
152, 267,267,0.0004873275756835,0.6073997020721436,1.0,1.0,1.0,What is the population of the island?,1
153, 53,53,0.0004897117614746,0.6100690364837646,1.0000001192092896,1.0,1.0,How many literary persecutions were there under Qianlongs reign?,1
154, Jianzhou,Jianzhou,0.0004940032958984,0.6087057590484619,1.0000001192092896,1.0,1.0,Where did Nurhachi move his court from?,1
155, Maritime naval weakness.,naval weakness,0.0004868507385253,0.9976325035095216,0.9386444687843324,0.8,0.8,What was the main problem the Qing had in preventing invasion from Europe?,1
156, Juye Incident,Juye Incident,0.0004868507385253,0.8020682334899902,1.0,1.0,1.0,What was the murders of the missionaries called?,1
157, The US Air Force coordinates with the Department of Energy (DOE) for nuclear security.,Departments of Defense or Energy,0.0004918575286865,3.703686237335205,0.5951645374298096,0.3157894736842105,0.3157894736842105,What other US departments does the Air Force coordinate with for nuclear security? ,0
158, Qi Jiguang,Qi Jiguang,0.0005006790161132,0.9967923164367676,1.0000001192092896,1.0,1.0,Who inspired Zeng Guofan in creating his army?,1
159, Idaho.,Idaho,0.0004940032958984,0.6093752384185791,0.9642766714096068,1.0,1.0,In what state is Argonne National Laboratory's Experimental Breeder Reactor I located?,1
160, The Beiyang Fleet.,Beiyang Fleet,0.0004971027374267,1.3811824321746826,0.9632468223571776,0.8,0.8,Which fleet did the Japanese destroy?,1
161, The Convention of Beijing.,Convention of Beijing,0.0004975795745849,1.1863420009613037,0.982554852962494,0.8571428571428571,0.8571428571428571,What did Prince Gong sign?,1
162, Bombers.,bomber,0.0004811286926269,0.8048396110534668,0.770155131816864,1.0,1.0,What type of USAF aircraft is designed for long range airstrike attacks? ,1
163, DS4SEQ,Daylight Saving for South East Queensland,0.0004932880401611,0.8061740398406982,0.2014228105545044,0.0,0.0,What was the name of Queensland's political party set up solely to support their particular DST arrangement?,1
164," 36,304 volumes.","36,304 volumes",0.0004830360412597,1.3827743530273438,0.967875599861145,1.0,1.0,How many volumes were in the Siku Quanshu?,1
165, 1 hour,one hour,0.0005030632019042,0.812568187713623,0.9373786449432372,0.5,0.5,For how much more time was the molten steel supposed to cool when the computer mix-up happened in the German steel facility?,1
166, Air Force-controlled infrastructure and its interconnected analog and digital portion of the battle space.,C2 networks/communications links and nuclear C2 networks,0.0004825592041015,3.3175361156463623,0.2285120040178299,0.0869565217391304,0.0869565217391304,What important networks is it the function of Cyberspace support to protect?,0
